file_id,priority,quality_score,bangla_ratio,ooc_ratio,complexity_score,review_reason
63558d56-5139-40a0-b934-aba8a6f4030b,CRITICAL - Filter Out,22,14.81%,80.49%,52.6,CRITICAL: 80.5% OOC tags (66/82 words) - Unusable
676027b8-45b9-440e-bfe3-79873b221dfd,CRITICAL - Filter Out,22,10.84%,85.51%,51.5,CRITICAL: 85.5% OOC tags (59/69 words) - Unusable
6a47ce0c-291b-4462-af55-800c1703306d,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (54/54 words) - Unusable
6b874ebd-bd10-417b-a894-d3265ec2ff28,CRITICAL - Filter Out,22,0.00%,96.15%,47.6,CRITICAL: 96.2% OOC tags (50/52 words) - Unusable
6c207d71-2ecd-4966-87cd-af8821a659b5,CRITICAL - Filter Out,22,0.00%,96.49%,47.1,CRITICAL: 96.5% OOC tags (55/57 words) - Unusable
6c6bf0af-24b9-4ac9-8046-13d0b1f75f1c,CRITICAL - Filter Out,17,0.00%,100.00%,47.0,CRITICAL: 100.0% OOC tags (20/20 words) - Unusable
6f261dfd-eee4-4db2-b7e5-c52063c75420,CRITICAL - Filter Out,22,0.00%,98.25%,46.4,CRITICAL: 98.2% OOC tags (56/57 words) - Unusable
701c0e22-02de-4782-9201-f00eea8662d3,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (48/48 words) - Unusable
708a557d-0991-4af9-9ad3-01756255e692,CRITICAL - Filter Out,22,0.00%,98.08%,46.5,CRITICAL: 98.1% OOC tags (51/52 words) - Unusable
7175f791-2623-4c87-9d24-356489b5846c,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (57/57 words) - Unusable
749f33a5-3e94-49a2-b357-02802350d240,CRITICAL - Filter Out,22,12.01%,85.53%,50.6,CRITICAL: 85.5% OOC tags (65/76 words) - Unusable
763d1dc2-0763-4e79-b342-4288d66da0df,CRITICAL - Filter Out,22,0.00%,100.00%,45.6,CRITICAL: 100.0% OOC tags (71/71 words) - Unusable
79c0e3d9-a2ab-46d9-814f-8e3e441abe48,CRITICAL - Filter Out,22,0.00%,95.38%,47.1,CRITICAL: 95.4% OOC tags (62/65 words) - Unusable
7defc653-b213-491f-a3f0-4305b16f46ed,CRITICAL - Filter Out,22,0.00%,100.00%,45.9,CRITICAL: 100.0% OOC tags (47/47 words) - Unusable
7e16b6c9-80c3-49e4-9100-f1f9b88de0aa,CRITICAL - Filter Out,22,0.00%,100.00%,45.6,CRITICAL: 100.0% OOC tags (62/62 words) - Unusable
7e9e90ba-e166-4404-bded-ca487840bc82,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
7f776a92-74dd-4cdc-be0c-d48165aba566,CRITICAL - Filter Out,22,11.95%,79.17%,57.0,CRITICAL: 79.2% OOC tags (19/24 words) - Unusable
7f880b36-281f-4e89-9490-c51e310ee512,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (52/52 words) - Unusable
8429040e-e24f-47fe-bcff-cd0a8ebf0cfa,CRITICAL - Filter Out,22,7.95%,87.50%,50.3,CRITICAL: 87.5% OOC tags (49/56 words) - Unusable
84fd0bd0-9c6f-4cdc-a5bd-f376d58b81d8,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
8650f115-b025-4df6-a689-8f03ac7d6776,CRITICAL - Filter Out,17,0.00%,100.00%,49.0,CRITICAL: 100.0% OOC tags (10/10 words) - Unusable
871d2f64-5fff-44e3-b966-940d19b0b103,CRITICAL - Filter Out,22,0.00%,94.29%,47.5,CRITICAL: 94.3% OOC tags (66/70 words) - Unusable
89d98887-8532-4098-b5f5-21c8d207a2c5,CRITICAL - Filter Out,22,0.00%,100.00%,45.5,CRITICAL: 100.0% OOC tags (86/86 words) - Unusable
8b393f80-731f-4674-848e-95cc444b0546,CRITICAL - Filter Out,22,0.00%,100.00%,47.4,CRITICAL: 100.0% OOC tags (17/17 words) - Unusable
8c627669-074a-4f5b-bdc6-d1b464f6dbe8,CRITICAL - Filter Out,22,0.00%,94.29%,49.4,CRITICAL: 94.3% OOC tags (33/35 words) - Unusable
8d009bed-b7c3-4b1b-b8ca-68472f3105e2,CRITICAL - Filter Out,14,0.00%,100.00%,48.1,CRITICAL: 100.0% OOC tags (13/13 words) - Unusable
8d41cc78-c923-4ef1-9684-0310c329b306,CRITICAL - Filter Out,22,0.00%,100.00%,45.6,CRITICAL: 100.0% OOC tags (62/62 words) - Unusable
8deb93a9-0823-4c3b-86e2-d91b7d3030cf,CRITICAL - Filter Out,14,0.00%,100.00%,48.3,CRITICAL: 100.0% OOC tags (12/12 words) - Unusable
8e3049f3-33d5-4aac-9315-204715bcbf7d,CRITICAL - Filter Out,17,0.00%,100.00%,50.7,CRITICAL: 100.0% OOC tags (7/7 words) - Unusable
901849a9-bce7-494e-8a01-c34a8a884114,CRITICAL - Filter Out,14,0.00%,100.00%,48.1,CRITICAL: 100.0% OOC tags (13/13 words) - Unusable
92163706-299d-47ac-a565-d11367062543,CRITICAL - Filter Out,22,0.00%,95.83%,48.6,CRITICAL: 95.8% OOC tags (23/24 words) - Unusable
922c2a1c-87fa-476e-a8dd-71887136bdf0,CRITICAL - Filter Out,17,0.00%,100.00%,47.5,CRITICAL: 100.0% OOC tags (16/16 words) - Unusable
95326f66-bf6f-4c22-bd41-1cc7e6d1ea94,CRITICAL - Filter Out,22,24.11%,75.44%,56.3,CRITICAL: 75.4% OOC tags (43/57 words) - Unusable
9868b919-dd48-4819-b9b1-eea001f20cd4,CRITICAL - Filter Out,17,0.00%,100.00%,48.1,CRITICAL: 100.0% OOC tags (13/13 words) - Unusable
9c6a62a4-db79-4a11-92b7-40d5f49adcea,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
a0ccc3b1-1827-4224-bd28-4c4b2d4d4a30,CRITICAL - Filter Out,22,0.00%,94.44%,49.8,CRITICAL: 94.4% OOC tags (17/18 words) - Unusable
a19a6573-06e0-404d-ad41-9f36f5af1a66,CRITICAL - Filter Out,14,0.00%,100.00%,48.3,CRITICAL: 100.0% OOC tags (12/12 words) - Unusable
a1ce9685-71c9-4eef-871a-54eaa51488e2,CRITICAL - Filter Out,22,12.24%,84.51%,52.1,CRITICAL: 84.5% OOC tags (60/71 words) - Unusable
a2392112-3b1c-4651-8fc2-f366c516c111,CRITICAL - Filter Out,22,2.97%,88.64%,50.2,CRITICAL: 88.6% OOC tags (39/44 words) - Unusable
a583786b-59a7-419e-b4e0-fc4497655bd3,CRITICAL - Filter Out,22,13.48%,83.78%,52.1,CRITICAL: 83.8% OOC tags (62/74 words) - Unusable
a752417e-73c9-4bed-8ca6-34aa7e1ff494,CRITICAL - Filter Out,17,0.00%,100.00%,55.0,CRITICAL: 100.0% OOC tags (4/4 words) - Unusable
ac221add-6562-4184-b93f-04efc04e9f36,CRITICAL - Filter Out,22,9.90%,83.58%,51.0,CRITICAL: 83.6% OOC tags (56/67 words) - Unusable
ad277bb4-b04c-497f-b41e-5c009c3223d3,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (60/60 words) - Unusable
ae0ecbf3-5461-4e9e-af2d-90c354cbb8bb,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (49/49 words) - Unusable
b4660d59-e9ae-435c-800d-99a85d0e90b2,CRITICAL - Filter Out,22,10.02%,88.16%,50.0,CRITICAL: 88.2% OOC tags (67/76 words) - Unusable
b4e1e226-de93-4890-aeaf-f178e58d63a8,CRITICAL - Filter Out,9,0.00%,100.00%,65.0,CRITICAL: 100.0% OOC tags (2/2 words) - Unusable
b588ed3c-e1d2-498a-9dfc-fd500ad06ed5,CRITICAL - Filter Out,14,0.00%,100.00%,47.9,CRITICAL: 100.0% OOC tags (14/14 words) - Unusable
b7a2bf57-bad5-4f52-a866-393648544ce0,CRITICAL - Filter Out,17,0.00%,100.00%,47.4,CRITICAL: 100.0% OOC tags (17/17 words) - Unusable
b8a85f9e-0cd2-40b5-9923-ff2214773eca,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
b95af17c-90ee-4408-8888-2debf9af06a6,CRITICAL - Filter Out,22,0.00%,98.15%,46.5,CRITICAL: 98.1% OOC tags (53/54 words) - Unusable
ba0f4e10-e995-4a6a-95a8-e90398930881,CRITICAL - Filter Out,22,0.00%,98.51%,46.1,CRITICAL: 98.5% OOC tags (66/67 words) - Unusable
ba62c128-879e-410d-8ab0-893beba94d38,CRITICAL - Filter Out,22,0.00%,92.59%,50.8,CRITICAL: 92.6% OOC tags (25/27 words) - Unusable
be546224-b34d-49f5-ac2a-fa7ac93e6d9c,CRITICAL - Filter Out,22,1.33%,96.00%,47.5,CRITICAL: 96.0% OOC tags (48/50 words) - Unusable
bf52ec55-9cd2-48f1-b1b3-d74c199c4762,CRITICAL - Filter Out,22,11.50%,79.03%,53.5,CRITICAL: 79.0% OOC tags (49/62 words) - Unusable
c02fa393-fc00-4b76-8546-bfe65bc9befc,CRITICAL - Filter Out,22,0.00%,95.77%,46.7,CRITICAL: 95.8% OOC tags (68/71 words) - Unusable
c157b539-5bd5-4add-b9da-4de2da0d7e4a,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
c2e9f298-e4fa-41ba-99b6-a20d0d46bdea,CRITICAL - Filter Out,17,0.00%,100.00%,50.0,CRITICAL: 100.0% OOC tags (8/8 words) - Unusable
c481e82d-6098-48cf-b6a1-2d6574d915d1,CRITICAL - Filter Out,17,0.00%,100.00%,50.7,CRITICAL: 100.0% OOC tags (7/7 words) - Unusable
c56e132f-fa55-4312-94e6-94022f466e4a,CRITICAL - Filter Out,22,17.37%,79.31%,53.7,CRITICAL: 79.3% OOC tags (23/29 words) - Unusable
c6383163-53e7-4ded-ba68-4b22fd9081f6,CRITICAL - Filter Out,14,0.00%,100.00%,49.0,CRITICAL: 100.0% OOC tags (10/10 words) - Unusable
c6e21778-cac1-4b94-a93c-e6d731a85795,CRITICAL - Filter Out,22,14.20%,85.71%,52.0,CRITICAL: 85.7% OOC tags (48/56 words) - Unusable
c8800c82-5353-42c8-8b29-c730e0f394c1,CRITICAL - Filter Out,22,1.03%,96.88%,47.2,CRITICAL: 96.9% OOC tags (62/64 words) - Unusable
cbfaff80-6491-4e62-8302-0e4a6eb76171,CRITICAL - Filter Out,14,0.00%,100.00%,48.1,CRITICAL: 100.0% OOC tags (13/13 words) - Unusable
cd53b34e-1c22-4d6c-862c-e76785dcaee8,CRITICAL - Filter Out,22,0.00%,100.00%,45.5,CRITICAL: 100.0% OOC tags (79/79 words) - Unusable
cda88637-5527-4bc7-8403-fdaa83efdbf9,CRITICAL - Filter Out,14,0.00%,100.00%,53.0,CRITICAL: 100.0% OOC tags (5/5 words) - Unusable
cee720e9-4ad0-410d-886c-428c7178060b,CRITICAL - Filter Out,17,0.00%,100.00%,47.9,CRITICAL: 100.0% OOC tags (14/14 words) - Unusable
d0948c29-41f4-44a8-bde7-e7b5f88060c4,CRITICAL - Filter Out,22,0.00%,100.00%,45.4,CRITICAL: 100.0% OOC tags (96/96 words) - Unusable
d1f5bd7c-1504-42ff-b7fc-921d816b311e,CRITICAL - Filter Out,17,0.00%,100.00%,46.9,CRITICAL: 100.0% OOC tags (21/21 words) - Unusable
d41f3154-f79f-4d53-a06a-e2fb3d7d5c53,CRITICAL - Filter Out,17,7.55%,88.37%,51.1,CRITICAL: 88.4% OOC tags (38/43 words) - Unusable
d70c0df2-1269-46e1-839b-5b7d87dda332,CRITICAL - Filter Out,22,0.00%,96.43%,47.3,CRITICAL: 96.4% OOC tags (54/56 words) - Unusable
daa4c365-add4-4c95-bf81-d439942d706a,CRITICAL - Filter Out,22,7.84%,91.18%,48.9,CRITICAL: 91.2% OOC tags (31/34 words) - Unusable
ddc82738-c8f3-41a9-97cb-fd619e155b3c,CRITICAL - Filter Out,17,12.17%,82.05%,51.9,CRITICAL: 82.1% OOC tags (32/39 words) - Unusable
e3380f92-934a-4aec-857d-1ecebcfe7b21,CRITICAL - Filter Out,22,11.45%,80.00%,50.6,CRITICAL: 80.0% OOC tags (52/65 words) - Unusable
e9c1ef28-232d-4847-a4c6-2239ff116ba2,CRITICAL - Filter Out,22,5.34%,95.65%,48.0,CRITICAL: 95.7% OOC tags (44/46 words) - Unusable
eb464b1d-e254-4821-8d7b-9fd9dca2a68a,CRITICAL - Filter Out,22,0.00%,97.18%,46.7,CRITICAL: 97.2% OOC tags (69/71 words) - Unusable
ec34b89a-48f6-4f7d-8763-26e630f3facd,CRITICAL - Filter Out,9,0.00%,100.00%,51.7,CRITICAL: 100.0% OOC tags (6/6 words) - Unusable
ed9b227c-0f42-4d9e-873d-146c2abf3d3e,CRITICAL - Filter Out,17,0.00%,100.00%,46.8,CRITICAL: 100.0% OOC tags (22/22 words) - Unusable
ee2ec508-fdac-4a8c-b504-9ee1cc57f437,CRITICAL - Filter Out,22,0.00%,93.33%,50.9,CRITICAL: 93.3% OOC tags (14/15 words) - Unusable
f577c322-be75-4d85-86c6-67205b37f28e,CRITICAL - Filter Out,22,0.00%,100.00%,45.6,CRITICAL: 100.0% OOC tags (68/68 words) - Unusable
f8e6907c-6b56-4a3b-b37c-7d0a808b6710,CRITICAL - Filter Out,22,9.09%,80.82%,52.9,CRITICAL: 80.8% OOC tags (59/73 words) - Unusable
fc5c8b03-a5f9-4285-9fcb-b5e0e75b5089,CRITICAL - Filter Out,22,0.00%,97.83%,46.8,CRITICAL: 97.8% OOC tags (45/46 words) - Unusable
fda504cf-1fa9-4ed8-834c-0039cf6b7bf0,CRITICAL - Filter Out,14,0.00%,100.00%,55.0,CRITICAL: 100.0% OOC tags (4/4 words) - Unusable
fe4e8731-3737-4877-b346-d26d1160a2cd,CRITICAL - Filter Out,22,13.04%,80.33%,52.2,CRITICAL: 80.3% OOC tags (49/61 words) - Unusable
2ea180c6-3148-4fcc-9977-49ad796a04f5,CRITICAL - Filter Out,22,0.00%,96.97%,47.6,CRITICAL: 97.0% OOC tags (32/33 words) - Unusable
30d6829c-9d96-46d7-b035-d44c245adad4,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (58/58 words) - Unusable
31378628-b4d0-4d7f-90f7-2fe7fa7abb91,CRITICAL - Filter Out,17,0.00%,100.00%,47.9,CRITICAL: 100.0% OOC tags (14/14 words) - Unusable
315e5060-5ba5-42f1-b045-d159502a031d,CRITICAL - Filter Out,22,19.18%,81.82%,53.9,CRITICAL: 81.8% OOC tags (54/66 words) - Unusable
3431eb75-a897-4e06-9fef-89077bb757b0,CRITICAL - Filter Out,22,15.41%,80.39%,53.0,CRITICAL: 80.4% OOC tags (41/51 words) - Unusable
3a2ba39e-c3fb-4be6-a128-ba8053ce90f4,CRITICAL - Filter Out,22,0.00%,97.37%,47.8,CRITICAL: 97.4% OOC tags (37/38 words) - Unusable
3a30e5ce-a1b1-439b-b1ed-2d11c675d841,CRITICAL - Filter Out,22,16.33%,78.43%,53.3,CRITICAL: 78.4% OOC tags (40/51 words) - Unusable
3cb4f928-46d6-4105-8048-5fb452168988,CRITICAL - Filter Out,22,0.00%,100.00%,47.9,CRITICAL: 100.0% OOC tags (14/14 words) - Unusable
3d180730-2cea-4f9a-90ac-00fc40012172,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (53/53 words) - Unusable
3df80917-95b8-4a99-b758-6bf052b343e9,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (57/57 words) - Unusable
3e323419-b77d-4573-94e4-7897205ecc77,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (49/49 words) - Unusable
3fe7ada2-d685-46d5-a264-386360de2553,CRITICAL - Filter Out,22,0.00%,100.00%,45.6,CRITICAL: 100.0% OOC tags (66/66 words) - Unusable
41ddb26a-e4d0-485a-b631-23e18a1f2496,CRITICAL - Filter Out,17,0.00%,83.33%,58.8,CRITICAL: 83.3% OOC tags (5/6 words) - Unusable
42c5580b-ed7f-4c43-850e-b38ad2f2345c,CRITICAL - Filter Out,17,0.00%,100.00%,51.7,CRITICAL: 100.0% OOC tags (6/6 words) - Unusable
44385bf9-8c62-421a-9af4-cccebe2e771e,CRITICAL - Filter Out,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (61/61 words) - Unusable
44a9e96b-ce66-4080-94dc-f53bf97154b5,CRITICAL - Filter Out,22,0.00%,97.73%,46.8,CRITICAL: 97.7% OOC tags (43/44 words) - Unusable
059c7145-a955-43b2-b5c2-4e6fad60115d,CRITICAL - Filter Out,22,9.54%,90.00%,49.5,CRITICAL: 90.0% OOC tags (45/50 words) - Unusable
0626f4b4-75d3-4246-9dba-cb327cea8dec,CRITICAL - Filter Out,22,0.00%,100.00%,46.5,CRITICAL: 100.0% OOC tags (27/27 words) - Unusable
0635174a-99f0-4e8d-a718-31fa6023a2df,CRITICAL - Filter Out,9,0.00%,100.00%,50.7,CRITICAL: 100.0% OOC tags (7/7 words) - Unusable
07281128-3989-46f3-8c1a-b8b8371691af,CRITICAL - Filter Out,22,10.67%,91.67%,49.4,CRITICAL: 91.7% OOC tags (44/48 words) - Unusable
0a111a40-1ae3-46ca-8e08-7f17d508c46e,CRITICAL - Filter Out,12,0.00%,100.00%,55.0,CRITICAL: 100.0% OOC tags (4/4 words) - Unusable
0dabb103-4433-41ec-8f7d-c832a93db6b9,CRITICAL - Filter Out,22,0.00%,100.00%,46.2,CRITICAL: 100.0% OOC tags (34/34 words) - Unusable
0ff41670-cda0-4ac8-bad4-204036ad91c4,CRITICAL - Filter Out,22,6.31%,89.47%,49.4,CRITICAL: 89.5% OOC tags (17/19 words) - Unusable
10b058f6-0398-41b8-87b0-c63d9a6d3209,CRITICAL - Filter Out,22,8.00%,92.98%,49.0,CRITICAL: 93.0% OOC tags (53/57 words) - Unusable
124f5677-72a5-4740-8d2f-f68ef8b32257,CRITICAL - Filter Out,22,0.00%,92.86%,48.1,CRITICAL: 92.9% OOC tags (26/28 words) - Unusable
16665e3c-3146-4caa-b258-1d54db1ef636,CRITICAL - Filter Out,12,0.00%,100.00%,53.0,CRITICAL: 100.0% OOC tags (5/5 words) - Unusable
1c0d4cd5-5c52-4e29-bc4c-51e1f7424636,CRITICAL - Filter Out,17,10.26%,76.92%,57.5,CRITICAL: 76.9% OOC tags (10/13 words) - Unusable
1fd94496-0da0-4546-aca3-f87e7245a851,CRITICAL - Filter Out,9,0.00%,100.00%,50.0,CRITICAL: 100.0% OOC tags (8/8 words) - Unusable
20c0a458-1468-4870-b1b1-388544d811db,CRITICAL - Filter Out,20,0.00%,93.75%,49.3,CRITICAL: 93.8% OOC tags (45/48 words) - Unusable
20ea6d00-10db-4784-88ef-5de7c9996283,CRITICAL - Filter Out,9,0.00%,100.00%,50.7,CRITICAL: 100.0% OOC tags (7/7 words) - Unusable
214366c9-1c27-4f88-83e2-a60af3438a40,CRITICAL - Filter Out,22,0.00%,98.08%,46.5,CRITICAL: 98.1% OOC tags (51/52 words) - Unusable
29bb55ed-8619-456d-8e96-de2587cab8fb,CRITICAL - Filter Out,22,0.00%,100.00%,49.4,CRITICAL: 100.0% OOC tags (9/9 words) - Unusable
10b058f6-0398-41b8-87b0-c63d9a6d3209,HIGH - Low Quality,22,8.00%,92.98%,49.0,CRITICAL: 93.0% OOC tags (53/57 words) - Unusable|Mixed English-Bangla text: 159 English characters|Low Bangla character ratio: 8.0%
0ff41670-cda0-4ac8-bad4-204036ad91c4,HIGH - Low Quality,22,6.31%,89.47%,49.4,CRITICAL: 89.5% OOC tags (17/19 words) - Unusable|High OOC frequency: 2.8 OOC/second|Mixed English-Bangla text: 51 English characters|Low Bangla character ratio: 6.3%
0dabb103-4433-41ec-8f7d-c832a93db6b9,HIGH - Low Quality,22,0.00%,100.00%,46.2,CRITICAL: 100.0% OOC tags (34/34 words) - Unusable|High OOC frequency: 2.5 OOC/second|Mixed English-Bangla text: 102 English characters|Low Bangla character ratio: 0.0%
0cc493d1-5aa8-415e-a53a-19f5e0119466,HIGH - Low Quality,37,26.30%,66.67%,57.6,SEVERE: 66.7% OOC tags (36/54 words) - Manual review needed|Mixed English-Bangla text: 108 English characters|Low Bangla character ratio: 26.3%
0c56446b-f75d-4126-94d2-c9306032cc27,HIGH - Low Quality,37,28.86%,64.00%,59.8,SEVERE: 64.0% OOC tags (16/25 words) - Manual review needed|Mixed English-Bangla text: 48 English characters|Low Bangla character ratio: 28.9%
0a111a40-1ae3-46ca-8e08-7f17d508c46e,HIGH - Low Quality,12,0.00%,100.00%,55.0,CRITICAL: 100.0% OOC tags (4/4 words) - Unusable|High OOC frequency: 2.4 OOC/second|Poor annotation coverage: 39.1% of audio annotated|Unrealistically high word density: 6.1 words/second|Mixed English
08785bf2-27ee-42be-9aee-94dca5ae9d65,HIGH - Low Quality,37,29.01%,59.09%,59.0,SEVERE: 59.1% OOC tags (26/44 words) - Manual review needed|Mixed English-Bangla text: 78 English characters|Low Bangla character ratio: 29.0%
07281128-3989-46f3-8c1a-b8b8371691af,HIGH - Low Quality,22,10.67%,91.67%,49.4,CRITICAL: 91.7% OOC tags (44/48 words) - Unusable|Mixed English-Bangla text: 132 English characters|Low Bangla character ratio: 10.7%
0635174a-99f0-4e8d-a718-31fa6023a2df,HIGH - Low Quality,9,0.00%,100.00%,50.7,CRITICAL: 100.0% OOC tags (7/7 words) - Unusable|Poor annotation coverage: 38.4% of audio annotated|Low word density: 0.6 words/second (expected 2-4)|Mixed English-Bangla text: 21 English characters|V
0626f4b4-75d3-4246-9dba-cb327cea8dec,HIGH - Low Quality,22,0.00%,100.00%,46.5,CRITICAL: 100.0% OOC tags (27/27 words) - Unusable|High OOC frequency: 2.7 OOC/second|Mixed English-Bangla text: 81 English characters|Low Bangla character ratio: 0.0%
059c7145-a955-43b2-b5c2-4e6fad60115d,HIGH - Low Quality,22,9.54%,90.00%,49.5,CRITICAL: 90.0% OOC tags (45/50 words) - Unusable|Mixed English-Bangla text: 135 English characters|Low Bangla character ratio: 9.5%
02d4547b-ee6b-484a-a11b-55234dedba58,HIGH - Low Quality,22,0.00%,96.36%,47.1,CRITICAL: 96.4% OOC tags (53/55 words) - Unusable|Mixed English-Bangla text: 159 English characters|Low Bangla character ratio: 0.0%
028f3100-a2b5-43c3-9439-981c22d41b23,HIGH - Low Quality,32,22.22%,72.22%,58.5,SEVERE: 72.2% OOC tags (13/18 words) - Manual review needed|Moderate annotation coverage: 75.3% of audio annotated|Mixed English-Bangla text: 39 English characters|Low Bangla character ratio: 22.2%
0165b249-484a-4342-8dfa-4b0b00cc4e15,HIGH - Low Quality,22,0.00%,100.00%,45.5,CRITICAL: 100.0% OOC tags (84/84 words) - Unusable|High OOC frequency: 2.8 OOC/second|Mixed English-Bangla text: 252 English characters|Low Bangla character ratio: 0.0%
0151e564-0045-45e4-bbb8-4cfe610c3ace,HIGH - Low Quality,22,0.00%,95.45%,49.0,CRITICAL: 95.5% OOC tags (21/22 words) - Unusable|High OOC frequency: 2.2 OOC/second|Mixed English-Bangla text: 63 English characters|Low Bangla character ratio: 0.0%
00a9409c-0fbf-42e6-b812-57b92653703e,HIGH - Low Quality,37,26.93%,66.67%,56.8,SEVERE: 66.7% OOC tags (50/75 words) - Manual review needed|Mixed English-Bangla text: 150 English characters|Low Bangla character ratio: 26.9%
30ed89b5-5547-4014-805f-bbe80c288fa2,HIGH - Low Quality,37,24.28%,68.97%,57.8,SEVERE: 69.0% OOC tags (20/29 words) - Manual review needed|Mixed English-Bangla text: 60 English characters|Low Bangla character ratio: 24.3%
30d6829c-9d96-46d7-b035-d44c245adad4,HIGH - Low Quality,22,0.00%,100.00%,45.7,CRITICAL: 100.0% OOC tags (58/58 words) - Unusable|Mixed English-Bangla text: 174 English characters|Low Bangla character ratio: 0.0%
30abbc28-e99e-44eb-8c1b-8619b1863c9a,HIGH - Low Quality,37,20.54%,66.10%,56.0,SEVERE: 66.1% OOC tags (39/59 words) - Manual review needed|Mixed English-Bangla text: 117 English characters|Low Bangla character ratio: 20.5%
